Nazwa,Kurs otwarcia,Kurs min,Kurs max,Kurs zamkniêcia
06MAGNA,3.53,3.33,3.595,3.41
08OCTAVA,1.03,1.03,1.03,1.03
11BIT,502,502,518.5,516
3RGAMES,0.758,0.758,0.758,0.758
4FUNMEDIA,7.12,6.6,7.12,7.04
ABPL,51.8,51,52.6,51.4
ACAUTOGAZ,32.2,32,32.2,32.1
ACTION,13.75,13.25,13.75,13.55
ADIUVO,3.11,3.11,3.11,3.11
AGORA,8.14,8.08,8.16,8.08
AGROTON,7.84,7.6,7.9,7.6
AIGAMES,3.635,3.35,3.635,3.61
AILLERON,12.95,12.8,13.25,13.25
AIRWAY,1.12,1.094,1.122,1.12
ALIOR,59.26,58.84,60.9,59.38
ALLEGRO,43.56,40.37,43.77,40.37
ALTA,2.35,2.34,2.35,2.34
ALTUS,1.525,1.45,1.53,1.53
ALUMETAL,55,55,55.8,55.8
AMBRA,23.2,23.2,24,23.4
AMICA,122,120,123.8,121.2
AMREST,29.26,29.26,29.94,29.6
ANSWEAR,33.1,33,33.4,33.15
APATOR,20,19.35,20,19.5
APLISENS,14.3,14.2,14.8,14.2
APSENERGY,3.32,3.22,3.32,3.29
ARCHICOM,18.8,18.4,19.1,18.4
ARCTIC,8.18,8.02,8.19,8.03
ARTERIA,6.2,6.2,6.2,6.2
ARTIFEX,10.4,10,10.5,10
ASBIS,23.1,22.6,23.45,23
ASSECOBS,40.4,39.9,40.4,40
ASSECOPOL,91.8,87.05,91.8,87.2
ASSECOSEE,44.8,44.5,45.7,45.7
ASTARTA,44.45,43.8,45.9,44.65
ATAL,43.9,43.7,44.8,44.8
ATENDE,4.44,4.36,4.5,4.42
ATLANTAPL,9,9,9,9
ATLANTIS,2.54,2.54,2.6,2.6
ATLASEST,2.1,2.02,2.1,2.1
ATMGRUPA,4.18,4.11,4.36,4.11
ATREM,2.11,2.01,2.11,2.1
AUTOPARTN,12.85,12.85,13.5,13.3
BAHOLDING,0.717,0.705,0.725,0.718
BBIDEV,5.56,5.56,5.56,5.56
BEDZIN,7,6.8,7,7
BENEFIT,702,699,705,699
BETACOM,6.4,6.4,6.5,6.5
BIOMEDLUB,7,6.444,7,6.58
BIOTON,4.655,4.595,4.68,4.595
BNPPPL,89.6,88,90.4,88
BOGDANKA,36.95,35.85,37.7,36.55
