Kod waluty,Kurs sredni
1 THB,0.1253
1 USD,4.1764
1 AUD,3.0143
1 HKD,0.5357
1 CAD,3.2934
1 NZD,2.8856
1 SGD,3.0547
1 EUR,4.6811
100 HUF,1.2711
1 CHF,4.4639
1 GBP,5.5781
1 UAH,0.1552
100 JPY,3.6326
1 CZK,0.1834
1 DKK,0.6295
100 ISK,3.1715
1 NOK,0.4682
1 SEK,0.4603
1 HRK,0.6221
1 RON,0.9458
1 BGN,2.3934
1 TRY,0.3297
1 ILS,1.3257
100 CLP,0.5133
1 PHP,0.0827
1 MXN,0.1966
1 ZAR,0.2637
1 BRL,0.7496
1 MYR,0.9921
1 RUB,0.056
10000 IDR,2.9293
100 INR,5.3778
100 KRW,0.3516
1 CNY,0.654
1 XDR,5.7989
